ticker,company,icb industry,icb subsector,date
ADBE,Adobe Inc.,Technology,Software,2026-09-12
AMD,Advanced Micro Devices,Technology,Semiconductors,2026-09-12
ABNB,Airbnb,Consumer Discretionary,Diversified Commercial Services,2026-09-12
ALNY,Alnylam Pharmaceuticals,Health Care,Biotechnology,2026-09-12
GOOGL,Alphabet Inc. (Class A),Technology,Software,2026-09-12
GOOG,Alphabet Inc. (Class C),Technology,Software,2026-09-12
AMZN,Amazon,Consumer Discretionary,Catalog/Specialty Distribution,2026-09-12
AEP,American Electric Power,Utilities,Electric Utilities,2026-09-12
AMGN,Amgen,Health Care,Biotechnology,2026-09-12
ADI,Analog Devices,Technology,Semiconductors,2026-09-12
AAPL,Apple Inc.,Technology,Computer Hardware,2026-09-12
AMAT,Applied Materials,Technology,Semiconductors,2026-09-12
APP,AppLovin,Technology,Software,2026-09-12
ARM,Arm Holdings,Technology,Semiconductors,2026-09-12
ASML,ASML Holding,Technology,Industrial Machinery,2026-09-12
ALAB,Astera Labs,Technology,Semiconductors,2026-09-12
ADSK,Autodesk,Technology,Software,2026-09-12
ADP,Automatic Data Processing,Industrials,Diversified Commercial Services,2026-09-12
AXON,Axon Enterprise,Industrials,Ordnance & Accessories,2026-09-12
BKR,Baker Hughes,Energy,Oil Equipment & Services,2026-09-12
BKNG,Booking Holdings,Consumer Discretionary,Transportation Services,2026-09-12
AVGO,Broadcom,Technology,Semiconductors,2026-09-12
CDNS,Cadence Design Systems,Technology,Software,2026-09-12
CTAS,Cintas,Industrials,Garments & Clothing,2026-09-12
CSCO,Cisco,Telecommunications,Computer Communications Equipment,2026-09-12
CCEP,Coca-Cola Europacific Partners,Consumer Staples,Soft Drinks,2026-09-12
CMCSA,Comcast,Telecommunications,Cable & Other Pay Television Services,2026-09-12
CEG,Constellation Energy,Utilities,Electric Utilities,2026-09-12
CPRT,Copart,Consumer Discretionary,Retail,2026-09-12
CRWV,CoreWeave,Technology,Computer Services,2026-09-12
COST,Costco,Consumer Discretionary,Department/Specialty Retail Stores,2026-09-12
CRWD,CrowdStrike,Technology,Software,2026-09-12
CSX,CSX Corporation,Industrials,Railroads,2026-09-12
DDOG,Datadog,Technology,Software,2026-09-12
DXCM,DexCom,Health Care,Medical/Dental Instruments,2026-09-12
FANG,Diamondback Energy,Energy,Oil & Gas Production,2026-09-12
DASH,DoorDash,Technology,Software,2026-09-12
EXC,Exelon,Utilities,Power Generation,2026-09-12
FAST,Fastenal,Industrials,Construction & Materials,2026-09-12
FER,Ferrovial,Industrials,"Military, Government, Technical",2026-09-12
FTNT,Fortinet,Technology,Computer Peripheral Equipment,2026-09-12
GEHC,GE HealthCare,Health Care,Medical Electronics,2026-09-12
GILD,Gilead Sciences,Health Care,Biotechnology,2026-09-12
HONA,Honeywell Aerospace,Industrials,Aerospace,2026-09-12
HON,Honeywell Technologies,Industrials,Diversified Industrials,2026-09-12
IDXX,Idexx Laboratories,Health Care,Biotechnology,2026-09-12
INTC,Intel,Technology,Semiconductors,2026-09-12
INTU,Intuit,Technology,Computer Software,2026-09-12
ISRG,Intuitive Surgical,Health Care,Industrial Specialties,2026-09-12
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks,2026-09-12
KLAC,KLA Corporation,Technology,Electronic Components,2026-09-12
KHC,Kraft Heinz,Consumer Staples,Packaged Foods,2026-09-12
LRCX,Lam Research,Technology,Industrial Machinery,2026-09-12
LIN,Linde plc,Basic Materials,Major Chemicals,2026-09-12
LITE,Lumentum,Technology,Communication Equipment,2026-09-12
MAR,Marriott International,Consumer Discretionary,Hotels/Resorts,2026-09-12
MRVL,Marvell Technology,Technology,Semiconductors,2026-09-12
MELI,Mercado Libre,Consumer Discretionary,Catalog/Specialty Distribution,2026-09-12
META,Meta Platforms,Technology,Software,2026-09-12
MCHP,Microchip Technology,Technology,Semiconductors,2026-09-12
MU,Micron Technology,Technology,Semiconductors,2026-09-12
MSFT,Microsoft,Technology,Software,2026-09-12
MSTR,MicroStrategy,Technology,Software,2026-09-12
MDLZ,Mondelez International,Consumer Staples,Packaged Foods,2026-09-12
MPWR,Monolithic Power Systems,Technology,Semiconductors,2026-09-12
MNST,Monster Beverage,Consumer Staples,Soft Drinks,2026-09-12
NBIS,Nebius Group,Technology,Computer Services,2026-09-12
NFLX,"Netflix, Inc.",Consumer Discretionary,Consumer Electronics,2026-09-12
NVDA,Nvidia,Technology,Semiconductors,2026-09-12
NXPI,NXP Semiconductors,Technology,Semiconductors,2026-09-12
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Retailers,2026-09-12
